REFERENCE	 DEGRADED	 PESQMOS	 PESQMOS	 SUBJMOS	 COND	 SAMPLE_FREQ	 CRUDE_DELAY
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=1.822	 1.822	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/445c0206_0.60431_22gc0105_-0.60431.wav	 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/mix/445c0206_0.60431_22gc0105_-0.60431.wav	 SQValue=2.191	 2.191	 0.000	 0	 8000	0.0000
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=1.172	 1.172	 0.000	 0	 8000	4.1400
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s1/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=1.429	 1.429	 0.000	 0	 8000	4.6600
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s1/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=1.750	 1.750	 0.000	 0	 8000	24.3040
 /esat/spchdisk/scratch/jzegers/wsjMix/data/2speakers/wav8k/min/tt/s2/420c020h_1.1139_442c0203_-1.1139.wav	 /esat/spchtemp/scratch/jzegers/Nabu-SS2.0/Default14_DC_2and3spk_optpertask_outperscen/test/reconstructions/task_2spk/s2/420c020h_1.1139_442c0203_-1.1139.wav	 SQValue=2.213	 2.213	 0.000	 0	 8000	24.1640
